IPA,name,token,category
ǃ,Latin Letter Retroflex Click,CONSONANT,consonants
b,Latin Letter Small B,CONSONANT,consonants
c,Latin Letter Small C,CONSONANT,consonants
d,Latin Letter Small D,CONSONANT,consonants
f,Latin Letter Small F,CONSONANT,consonants
g,Latin Letter Small G,CONSONANT,consonants
h,Latin Letter Small H,CONSONANT,consonants
k,Latin Letter Small K,CONSONANT,consonants
l,Latin Letter Small L,CONSONANT,consonants
m,Latin Letter Small M,CONSONANT,consonants
n,Latin Letter Small N,CONSONANT,consonants
p,Latin Letter Small P,CONSONANT,consonants
q,Latin Letter Small Q,CONSONANT,consonants
r,Latin Letter Small R,CONSONANT,consonants
s,Latin Letter Small S,CONSONANT,consonants
t,Latin Letter Small T,CONSONANT,consonants
v,Latin Letter Small V,CONSONANT,consonants
x,Latin Letter Small X,CONSONANT,consonants
z,Latin Letter Small Z,CONSONANT,consonants
¡,Inverted Exclamation Mark,CONSONANT,consonants
ç,Latin Letter Small C with cedilla,CONSONANT,consonants
ð,Latin Letter Small Eth,CONSONANT,consonants
ħ,Latin Letter Small H with Stroke,CONSONANT,consonants
ŋ,Latin Letter Small Eng,CONSONANT,consonants
ƀ,Latin Letter Small B with Stroke,CONSONANT,consonants
ƈ,Latin Letter Small C with Hook,CONSONANT,consonants
ƙ,Latin Letter Small K with Hook,CONSONANT,consonants
ƛ,Latin Letter Small Lamda with Stroke,CONSONANT,consonants
ƞ,Latin Letter Small N with Long Right Leg,CONSONANT,consonants
ƥ,Latin Letter Small P with Hook,CONSONANT,consonants
ƫ,Latin Letter Small T with Palatal Hook,CONSONANT,consonants
ƹ,Latin Letter Small Ezh Reversed,CONSONANT,consonants
ƺ,Latin Letter Small Ezh with Tail,CONSONANT,consonants
ǀ,Latin Letter Dental Click,CONSONANT,consonants
ǁ,Latin Letter Lateral Click,CONSONANT,consonants
ǂ,Latin Letter Alveopalatal Click,CONSONANT,consonants
ȴ,Latin Letter Small L with Curl,CONSONANT,consonants
ȵ,Latin Letter Small N with Curl,CONSONANT,consonants
ȶ,Latin Letter Small T with Curl,CONSONANT,consonants
ɓ,Latin Letter Small B with Hook,CONSONANT,consonants
ɕ,Latin Letter Small C with Curl,CONSONANT,consonants
ɖ,Latin Letter Small D with Tail,CONSONANT,consonants
ɗ,Latin Letter Small D with Hook,CONSONANT,consonants
ɟ,Latin Letter Small Dotless J with Stroke,CONSONANT,consonants
ɠ,Latin Letter Small G with Hook,CONSONANT,consonants
ɡ,Latin Letter Small Script G,CONSONANT,consonants
ɢ,Latin Letter Small Capital G,CONSONANT,consonants
ɣ,Latin Letter Small Gamma,CONSONANT,consonants
ɦ,Latin Letter Small H with Hook,CONSONANT,consonants
ɧ,Latin Letter Small Heng with Hook,CONSONANT,consonants
ɫ,Latin Letter Small L with middle Tilde,CONSONANT,consonants
ɬ,Latin Letter Small L with Belt,CONSONANT,consonants
ɭ,Latin Letter Small L with Retroflex Hook,CONSONANT,consonants
ɮ,Latin Letter Small LEzh,CONSONANT,consonants
ɱ,Latin Letter Small M with Hook,CONSONANT,consonants
ɲ,Latin Letter Small N with Left Hook,CONSONANT,consonants
ɳ,Latin Letter Small N with Retroflex Hook,CONSONANT,consonants
ɴ,Latin Letter Small Capital N,CONSONANT,consonants
ɸ,Latin Letter Small Phi,CONSONANT,consonants
ɹ,Latin Letter Small Turned R,CONSONANT,consonants
ɺ,Latin Letter Small Turned R with Long Leg,CONSONANT,consonants
ɻ,Latin Letter Small Turned R with Hook,CONSONANT,consonants
ɼ,Latin Letter Small R with Long Leg,CONSONANT,consonants
ɽ,Latin Letter Small R with Tail,CONSONANT,consonants
ɾ,Latin Letter Small R with Fish Hook,CONSONANT,consonants
ʀ,Latin Letter Small Capital R,CONSONANT,consonants
ʁ,Latin Letter Small Capital Inverted R,CONSONANT,consonants
