Date,Record,Group,Tier,Range,IPA Target,IPA Actual,Alignment,Result,filename,Query Source,Analysis,Phase,Language,Participant,Speaker,Probe,Probe Type,IPA Alignment,Tiers,Notes,Orthography,IPA Target Words,IPA Actual Words,IPA Alignment Words,Accuracy
2020-10-21,1,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(1...2) ↔ (0...1); (0...4), (0...5), (0...4), (0...15), (0...19)",d,d,d:O↔d:O,"d ↔ d; dedo, ˈdedo, dedo, d↔d,e↔e,d↔d,o↔o, LC di KR /ə/--> /e/",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,d ↔ d,"dedo, ˈdedo, dedo, d↔d,e↔e,d↔d,o↔o, LC di KR /ə/--> /e/",LC di KR /ə/--> /e/,dedo,ˈdedo,dedo,"d↔d,e↔e,d↔d,o↔o",1.0
2020-10-21,1,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(3...4) ↔ (2...3); (0...4), (0...5), (0...4), (0...15), (0...19)",d,d,d:O↔d:O,"d ↔ d; dedo, ˈdedo, dedo, d↔d,e↔e,d↔d,o↔o, LC di KR /ə/--> /e/",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,d ↔ d,"dedo, ˈdedo, dedo, d↔d,e↔e,d↔d,o↔o, LC di KR /ə/--> /e/",LC di KR /ə/--> /e/,dedo,ˈdedo,dedo,"d↔d,e↔e,d↔d,o↔o",1.0
2020-10-21,2,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(1...2) ↔ (0...1); (0...4), (0...5), (0...4), (0...15), (0...70)",k,k,k:O↔k:O,"k ↔ k; caja, ˈkaxa, kaxa, k↔k,a↔a,x↔x,a↔a, LC di (clinician interuption), CL: English influence on first stop VOT",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,k ↔ k,"caja, ˈkaxa, kaxa, k↔k,a↔a,x↔x,a↔a, LC di (clinician interuption), CL: English influence on first stop VOT","LC di (clinician interuption), CL: English influence on first stop VOT",caja,ˈkaxa,kaxa,"k↔k,a↔a,x↔x,a↔a",1.0
2020-10-21,2,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(3...4) ↔ (2...3); (0...4), (0...5), (0...4), (0...15), (0...70)",x,x,x:O↔x:O,"x ↔ x; caja, ˈkaxa, kaxa, k↔k,a↔a,x↔x,a↔a, LC di (clinician interuption), CL: English influence on first stop VOT",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,x ↔ x,"caja, ˈkaxa, kaxa, k↔k,a↔a,x↔x,a↔a, LC di (clinician interuption), CL: English influence on first stop VOT","LC di (clinician interuption), CL: English influence on first stop VOT",caja,ˈkaxa,kaxa,"k↔k,a↔a,x↔x,a↔a",1.0
2020-10-21,3,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(1...2) ↔ (0...1); (0...6), (0...7), (0...6), (0...23), (0...0)",f,f,f:O↔f:O,"f ↔ f; fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,f ↔ f,"fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",∅,fuerte,ˈfweɾte,fweɾte,"f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e",1.0
2020-10-21,3,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(2...3) ↔ (1...2); (0...6), (0...7), (0...6), (0...23), (0...0)",w,w,w:O↔w:O,"w ↔ w; fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,w ↔ w,"fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",∅,fuerte,ˈfweɾte,fweɾte,"f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e",1.0
2020-10-21,3,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(4...5) ↔ (3...4); (0...6), (0...7), (0...6), (0...23), (0...0)",ɾ,ɾ,ɾ:C↔ɾ:C,"ɾ ↔ ɾ; fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,ɾ ↔ ɾ,"fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",∅,fuerte,ˈfweɾte,fweɾte,"f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e",1.0
2020-10-21,3,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(5...6) ↔ (4...5); (0...6), (0...7), (0...6), (0...23), (0...0)",t,t,t:O↔t:O,"t ↔ t; fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,t ↔ t,"fuerte, ˈfweɾte, fweɾte, f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e, ∅",∅,fuerte,ˈfweɾte,fweɾte,"f↔f,w↔w,e↔e,ɾ↔ɾ,t↔t,e↔e",1.0
2020-10-21,4,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(0...1) ↔ (0...1); (0...9), (0...9), (0...8), (0...31), (0...6)",k,k,k:O↔k:O,"k ↔ k; corriendo, koˈrjendo, korjendo, k↔k,o↔o,r↔r,j↔j,e↔e,n↔n,d↔d,o↔o, LC di ",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,k ↔ k,"corriendo, koˈrjendo, korjendo, k↔k,o↔o,r↔r,j↔j,e↔e,n↔n,d↔d,o↔o, LC di",LC di ,corriendo,koˈrjendo,korjendo,"k↔k,o↔o,r↔r,j↔j,e↔e,n↔n,d↔d,o↔o",1.0
2020-10-21,4,1,"IPA Target ↔ IPA Actual; Orthography (Group), IPA Target (Group), IPA Actual (Group), Alignment (Group), Notes (Group)","(3...4) ↔ (2...3); (0...9), (0...9), (0...8), (0...31), (0...6)",r,r,r:O↔r:O,"r ↔ r; corriendo, koˈrjendo, korjendo, k↔k,o↔o,r↔r,j↔j,e↔e,n↔n,d↔d,o↔o, LC di ",S401.S401_EFE-A_Pre_05_20_2024.csv,Queries_Target_v2,Consonants,Pre,Spanish,S401,S401,EFE-A,Pre,r ↔ r,"corriendo, koˈrjendo, korjendo, k↔k,o↔o,r↔r,j↔j,e↔e,n↔n,d↔d,o↔o, LC di",LC di ,corriendo,koˈrjendo,korjendo,"k↔k,o↔o,r↔r,j↔j,e↔e,n↔n,d↔d,o↔o",1.0
