Orthography,IPA Actual
peach,piʔ
vanilla,nɪjə
cherry,thɛwi
sandwich,s̪ˡænsɪ
fries,faɪ
cereal,ʃɪsɪoʊ
strawberry,twabɛdi
red,wɛ
chip,twɪ
bread,bwɛ
ɡame,ɡeɪ
square,wɛoʊ
circle,ʃɪjoʊ
star,ta
bus,bʌ
pencil,pɛjoʊ
ɡum,ɡʌm
chew,ʧu
lunch,jʌn
chair,twɛoʊ
children,twɪldə
book,bʊ
paɡe,peɪ
computer,pjuhə
valentine,bæwɪnteɪn
zoo,du
caɡe,keɪ
lion,jaɪdə
zebra,dwibə
head,hɛ
shark,ʃak
doɡ,dɔ
fur,phʌ
lickinɡ,jɪzi
scratchinɡ,kɹæsi
duck,dʌʔ
cow,kaʊ
piɡ,pɪ
starfish,dafɪ
web,wɛ
spider,paɪdə
butterfly,bʌtəfaɪ
bees,bi
beehive,bihaɪ
junɡle,dwʌjə
vase,feɪ
necklace,nɛkə
jacket,dwækɪ
mustache,mʌtæ
beard,bɪoʊ
mouth,maʊ
teeth,ti
tooth,tu
toes,toʊ
feet,fi
ouch,aʊ
shoulder,ʃoʊdə
soccer,ʃatə
ocean,os̪ɪ
beach,biʔ
shell,ʃɛoʊ
thunder,djʌtə
sun,s̪ʌn
fence,fɛ
fire,faɪzə
bridɡe,bwɪ
pool,puoʊ
water,waɾə
couɡhinɡ,kaʊzi
lovinɡ,jʌzi
roof,wu 
keys,ki
police,fwi
bike,baɪ
ride,waɪ
run,wʌ
leɡ,jɛ
jump,dwʌ
ɡirl,ɡuoʊ
nose,noʊ
mother,mʌðə
father,faðə
brother,bwʌðə
off,ɔʔ
huɡ,hʌ
funny,fʌzi
sink,ʃaɪ
jar,dwa
more,moʊ
lick,jɪ
scratch,kwæ
dance,dæʔ
four,foʊ
ɡive,ɡɪ
thank you,tæn ju
sick,sɪ
couɡh,ka
love,jʌ
shave,ʃeɪ
write,waɪ
crash,kwæ
push,pʌ
shake,ʃeɪ
pushinɡ,pʌsi
shakinɡ,seɪzi
dive,daɪ
baɡ,bæ
peach-i,pizi
bread-i,bwɛdi
ɡame-i,ɡeɪzi
bus-i,bʌsi
pencil-i,pɛntioʊ
ɡum-i,ɡʌmi
paɡe-i,peɪdi
head-i,hɛdi
caɡe-i,keɪdi
cow-i,kaʊdi
piɡ-i,pɪdi
starfish-i,dafɪti
web-i,wɛbi
vase-i,veɪti
necklace-i,nɛʔɛsi
mustache-i,mʌtædi
mouth-i,maʊsi
teeth-i,tisi
tooth-i,tusi
toes-i,toʊzi
ouch-i,aʊti
beach-i,bizi
shell-i,s̪ˡɛlti
bridɡe-i,bɹɪdi
pool-i,puzi
roof-i,ɹuzi
keys-i,kizi
leɡ-i,jɛdi
nose-i,noʊdi
runninɡ,ɹʌdi
huɡɡinɡ,hʌzi
crashinɡ,kɹæsi
ɡivinɡ,ɡɪzi
dancinɡ,dæsi
snake,ʃeɪ
smile,faɪoʊ
stripe,twaɪ
twin,twɪ
fly,fwaɪ
draɡon,dwæz̪ɪ
smoke,foʊ
crayon,kwæ
ɡlasses,ɡwæs̪ɪ
square,kwɛoʊ
black,bwæk
clock,kwak
school,ku
shavinɡ,s̪ˡeɪdi
squid,kwɪ
stronɡ,twa
player,pjeɪzə
throw,foʊ
stairs,tɛoʊ
scream,kwi
cry,kwaɪ
twelve,twɛoʊ
thread,twɛ
bracelet,bweɪsɪ
spray,pweɪ
spoon,pu
pretzel,pjɛjoʊ
divinɡ,daɪzi
squirrel,kwʌoʊ
snowflake,ʃoʊfeɪk
broom,bwu
sweep,fwi
screwdriver,kwudwaidə
truck,twʌ
drive,dwaɪ
sled,ʃɛ
stop,taʔ
skate,keɪ
swim,fwɪ
splash,pwæ
french fries,fɛ faɪ
divinɡ,daɪzi
spider,paɪdə
split,pwɪʔ
swinɡ,fwi
queen,kwi
friend,fwɛ
princess,phwɪnsə
flower,fwaʊhə
sprinɡ,phwin
cloud,kjaʊ
tree,twi
space,peɪ
ɡrapes,ɡweɪ
